filename,width,height,class,xmin,ymin,xmax,ymax
RedCrownedToadlet586.jpg,224,224,RedCrownedToadlet,27,3,171,209
corroboree frog 1496.jpg,224,224,corroboreefrog,65,26,138,104
corroboree frog 1496.jpg,224,224,corroboreefrog,42,108,119,189
gree tree frog 1031.jpg,224,224,greentreefrog,46,63,116,135
GGBF281.jpg,224,224,GreenAndGoldenBellFrog,3,12,201,177
"CaneToad1,652.jpg",256,256,CaneToad,23,32,211,203
1390.jpg,224,224,bluemoubtauinstreefrog,56,70,224,210
GoldenPoisonDartFrog652.jpg,224,224,GoldenPoisonDartFrog,105,31,223,212
BluePoisonDartFrog572.jpg,224,224,BluePoisonDartFrog,24,55,198,203
gree tree frog 616.jpg,224,224,greentreefrog,20,14,224,210
GoldenPoisonDartFrog646.jpg,224,224,GoldenPoisonDartFrog,75,50,164,149
"CaneToad1,646.jpg",256,256,CaneToad,38,26,231,256
610.jpg,224,224,bluemoubtauinstreefrog,120,111,150,139
1384.jpg,224,224,bluemoubtauinstreefrog,58,44,201,196
RedCrownedToadlet592.jpg,224,224,RedCrownedToadlet,16,10,203,215
GGBF295.jpg,224,224,GreenAndGoldenBellFrog,47,39,168,159
VietnameseMossy753.jpg,224,224,VietnameseMossy,11,52,218,177
corroboree frog 440.jpg,224,224,corroboreefrog,14,22,70,74
corroboree frog 440.jpg,224,224,corroboreefrog,124,73,183,128
corroboree frog 440.jpg,224,224,corroboreefrog,97,126,158,159
BluePoisonDartFrog228.jpg,224,224,BluePoisonDartFrog,36,74,132,183
corroboree frog 326.jpg,224,224,corroboreefrog,22,24,183,162
RedEyed482.jpg,224,224,RedEyed,36,1,224,210
638.jpg,224,224,bluemoubtauinstreefrog,28,63,208,200
RedEyed496.jpg,224,224,RedEyed,60,87,148,151
corroboree frog 332.jpg,224,224,corroboreefrog,36,71,182,192
VietnameseMossy747.jpg,224,224,VietnameseMossy,12,49,215,161
GGBF242.jpg,224,224,GreenAndGoldenBellFrog,72,67,174,154
"CaneToad2,034.jpg",224,224,CaneToad,50,3,207,74
RedCrownedToadlet545.jpg,224,224,RedCrownedToadlet,22,28,185,191
